,trad,bfm_all,bfm_tested,n_species,d_all,d_tested,d_species_selection,trad_empirical,d_lognormal_assumption
1314-62-1,-0.0005280363612841787,0.24191107335612558,0.08038472842978339,5,0.24243910971740976,0.08091276479106757,0.16152634492634219,0.1142567753958394,-0.11478481175712357
13171-21-6,-0.8491575085673642,-0.48801236437527656,-0.41502762969691315,26,0.3611451441920876,0.434129878870451,-0.07298473467836342,-0.40694379522833235,-0.4422137133390318
1327-53-3,0.936520803678349,0.1501505899550675,1.1218421318019027,14,-0.7863702137232815,0.18532132812355373,-0.9716915418468353,1.1042338954702327,-0.16771309179188365
133-06-2,-0.8463188907279914,-0.7477245561829267,-0.673483747562125,15,0.09859433454506472,0.17283514316586635,-0.07424080862080162,-0.7014005676816796,-0.1449183230463118
133-07-3,-0.5950159366284826,-0.8542584033181462,-0.5901815074442779,5,-0.25924246668966355,0.004834429184204736,-0.2640768958738683,-0.33655698173518,-0.2584589548933026
1333-82-0,0.09829997524068546,0.49686891729723526,-0.13436259255187255,9,0.3985689420565498,-0.232662567792558,0.6312315098491078,-0.17283033289264105,0.2711303081333265
13360-45-7,-0.09309382166178193,-0.20581206522328407,0.7194372928419044,7,-0.11271824356150215,0.8125311145036863,-0.9252493580651885,0.7397940008672038,-0.8328878225289857
134-20-3,1.09593388258358,0.7015135202931534,1.2241734726229065,5,-0.39442036229042665,0.1282395900393265,-0.5226599523297532,1.183438550967197,-0.08750466838361692
13410-01-0,0.11248533250855919,0.4188862428289706,0.2884627077249108,14,0.3064009103204114,0.1759773752163516,0.1304235351040598,0.30337011640243927,-0.19088478389388008
13463-41-7,-1.1267850403628343,-1.2648872567799463,-0.936709058311255,5,-0.13810221641711196,0.19007598205157938,-0.32817819846869134,-0.9884730859218637,-0.13831195444097066
13463-67-7,1.1595057571072838,1.126074619541281,1.1508836538163527,5,-0.0334311375660028,-0.008622103290931049,-0.02480903427507175,1.0784374596293007,0.08106829747798305
13464-37-4,0.38771366045417965,0.31881596566420434,0.3523332772984828,6,-0.06889769478997532,-0.03538038315569686,-0.03351731163427846,0.33226457857110786,0.055449081883071794
13593-03-8,-1.7418735887070143,-1.568787711161511,-0.6447811887819492,13,0.1730858775455033,1.097092399925065,-0.9240065223795617,-0.582295970944165,-1.1595776177628494
137-26-8,-1.9673727305758781,-1.1487785324255415,-1.4887453238076143,7,0.8185941981503366,0.4786274067682639,0.33996679138207275,-1.6387640052032224,-0.32860872537265573
137-30-4,-1.3472921314091049,-1.2414966283267606,-0.8863161941309163,9,0.10579550308234431,0.46097593727818853,-0.3551804341958442,-1.1756880311624998,-0.1716041002466051
13718-26-8,0.9692093777216473,0.5778381935547148,1.059188352723207,8,-0.3913711841669325,0.08997897500155982,-0.48135015916849233,1.1181766686478796,-0.1489672909262323
138261-41-3,-1.0218635528767304,-0.4441649444424846,-0.9072763283143712,18,0.5776986084342457,0.11458722456235915,0.4631113838718866,-0.9859239271225544,-0.035939625754175974
13863-41-7,-0.6967209593922259,-0.5209608735338487,-0.646495777201128,10,0.1757600858583772,0.05022518219109784,0.12553490366727937,-0.6575773191777937,-0.039143640214432174
140-66-9,-1.165954058986407,-0.8734642623497313,-1.0700584006980332,5,0.29248979663667574,0.09589565828837388,0.19659413834830186,-1.1370424729887851,-0.02891158599762189
1401-55-4,-0.7121684044159945,-1.1313732666297869,-0.47125485068235523,5,-0.4192048622137924,0.24091355373363926,-0.6601184159474316,-0.5102203689352678,-0.2019480354807267
141-66-2,-1.2581727080518759,-0.1414820933031158,-1.2264423197716734,8,1.11669061474876,0.03173038828020247,1.0849602264685576,-1.2712507288043473,0.013078020752471442
141-78-6,2.3882468198011395,1.9875376107626082,2.416646752551755,12,-0.40070920903853136,0.028399932750615697,-0.42910914178914705,2.4177999992175554,-0.029553179416415887
142-28-9,1.5293059602091639,1.2369768846138947,1.5503073533433,6,-0.2923290755952692,0.02100139313413618,-0.3133304687294054,1.4955443375464486,0.03376162266271532
1420-04-8,-1.26569155269512,-1.1767158517993197,-1.1812840689721076,26,0.08897570089580031,0.08440748372301243,0.004568217172787881,-1.171735890340235,-0.09395566235488495
1420-06-0,-1.0192408760107703,-0.7857394286795694,-0.8532660838505156,5,0.23350144733120093,0.16597479216025468,0.06752665517094625,-0.9250296996793157,-0.0942111763314546
143-33-9,-0.8653796833214011,-0.8668114464205092,-0.8445012673344298,9,-0.0014317630991080854,0.020878415986971377,-0.022310179086079462,-0.8484990582957778,-0.016880625025623375
143-50-0,-1.29996025392306,-1.1187348354905446,-1.1788753760196962,17,0.18122541843251527,0.12108487790336375,0.06014054052915152,-1.2580860938879312,-0.04187416003512867
144-55-8,2.9761177643745107,2.3453519981788036,3.0585479906786057,6,-0.6307657661957071,0.08243022630409502,-0.7131959924998021,2.9785420595511134,-0.0024242951766026977
14437-17-3,-2.7909763656145103,-1.899892342893607,-2.042725697465162,7,0.8910840227209034,0.7482506681493484,0.142833354571555,-2.4753835704147216,-0.3155927951997888
1445-75-6,2.669565219190197,1.747902811441525,2.753521006400229,7,-0.9216624077486721,0.08395578721003183,-1.005618194958704,2.716413136741321,-0.04684791755112405
14484-64-1,-0.9520481216632941,-1.0292767596133194,-1.01680407901265,9,-0.07722863795002533,-0.06475595734935591,-0.012472680600669417,-1.0457574905606752,0.09370936889738113
145-73-3,1.036215823837634,1.2149389116256224,1.6484458936642197,6,0.1787230877879884,0.6122300698265857,-0.4335069820385973,1.6837672614253116,-0.6475514375876776
149-30-4,-0.11941601717756123,-0.057019897726001634,-0.11485984072401212,6,0.062396119451559595,0.00455617645354911,0.057839942998010485,-0.2310904524633629,0.11167443528580168
