CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper
90-05-1,2-Methoxyphenol,0.5541192944414726,0.549267181301655,0.4790350758720033,-0.9001424138414073,1.8348972344598038,-0.33824014446618,1.3913845910080955
90-12-0,1-Methylnaphthalene,-0.3357653299921802,-0.31698334809969186,0.24100313050809358,-0.9649472048852099,0.18492516266423584,-0.8244114195602354,0.06905190825059905
90-13-1,1-Chloronaphthalene,-0.46065774005315424,-0.4872443100829047,0.2473910738425596,-1.0460475718510218,0.06644995340387073,-0.8828167886202782,-0.028760179919553937
90-15-3,1-Naphthol,-0.5215943932800754,-0.4757512805551132,0.14438003702302177,-0.8843305877646837,-0.31515256356858296,-0.8392219508247425,-0.3474510604217359
90-43-7,2-Phenylphenol,-0.24013094959278422,-0.22817803119879954,0.26598306120305854,-0.8971200703819532,0.3199808025566583,-0.7283969537325397,0.22404052840762984
90-59-5,"3,5-Dibromosalicylaldehyde",-0.961094878320457,-0.9455159226598002,0.4678993775796118,-2.009736110888404,0.16591292254016948,-1.793617340531811,-0.16251725233548536
907204-31-3,Fluxapyroxad,-0.5070549868996583,-0.5337650249859177,0.3756704323183775,-1.4656981597302978,0.5108392681251491,-1.2063878278939324,0.22507594593015348
90982-32-4,Chlorimuron-ethyl,-0.7030589218815233,-0.6930413959193686,0.5620423429210358,-2.2222458336144477,0.4990421514844255,-2.034481944803277,0.21332704248503748
91-15-6,"1,2-Benzenedicarbonitrile",0.258705398701679,0.22974558057962413,0.36342962489016944,-0.6967662084821141,1.1497953447479412,-0.4827026179633187,0.9425790049286594
91-17-8,Decalin,-0.12136287910138979,-0.12834064252136004,0.550809837593592,-1.4982474640771168,1.4054357555283972,-1.2057759476830994,0.7698630986658437
91-20-3,Naphthalene,-0.11325258093047058,-0.11617619836476761,0.10460332918877761,-0.385155552528818,0.1032692582363605,-0.3492758199736535,0.08832926797148632
91-22-5,Quinoline,0.430562458716997,0.4122958814200683,0.262535717177439,-0.15247368585679444,1.1524411558878425,-0.050517624648488885,0.9736413556396575
91-23-6,1-Methoxy-2-nitrobenzene,0.84649661280247,0.8711441758821186,0.303787169567993,0.15401654379209623,1.5993955012064034,0.2639971104408374,1.4298259406221854
91-40-7,N-Phenylanthranilic acid,-0.0688879620457329,-0.12656298279702025,0.566746719277262,-1.5260526447147105,1.1843073760445524,-1.0819749879845344,1.1116784345182407
91-52-1,"Benzoic acid, 2,4-dimethoxy-",0.37018592027951647,0.3869171876253469,0.48698169198382335,-0.8459163846268344,1.51015854421204,-0.7195975060935658,1.277681180680547
91-53-2,Ethoxyquin,-0.2086067744171021,-0.17099243663989683,0.40112108929225815,-1.28480880343164,0.8312813121542143,-1.0348230064093251,0.4628086167718009
91-57-6,2-Methylnaphthalene,-0.2741401115086426,-0.27310931182388903,0.13424844951399081,-0.532806959390716,0.10899796786347264,-0.5043598122471841,0.009312216915059155
91-64-5,Coumarin,0.3397577129401793,0.33678935572098334,0.2007421426653249,-0.2505885807084488,0.7798907962549866,-0.014362152973434576,0.70444723458642
91-65-6,"N,N-Diethylcyclohexylamine",0.3274362738578494,0.3543027907777321,0.36069842543738484,-0.48869133843256096,1.4198303846790281,-0.35201802880341543,1.0930861692010525
91-66-7,"N,N-Diethylaniline",-0.07419462115988602,-0.08956147936314408,0.25354239193499356,-0.6801297331908487,0.5198085785678891,-0.5154421419295782,0.37926114698620644
91-88-3,2-(N-Ethyl-m-toluidino)ethanol,0.24322788033955042,0.28997885564476533,0.3906281318138987,-1.0331937979404722,0.9213070187076416,-0.6240893994752557,0.8064682863727083
91-94-1,"3,3'-Dichlorobenzidine",-0.6183868361443404,-0.6913524112012336,0.383803636462117,-1.492266720495894,0.24359105891517796,-1.3040355840838311,0.06231753099371082
91296-87-6,Sarafloxacin hydrochloride,-0.7610934262794278,-0.7177535349401603,0.49802693365840595,-2.250306251933377,0.4533750663475784,-1.7600951898650687,0.1414219240712176
91465-08-6,lambda-Cyhalothrin,-4.096397968029456,-4.086091993496004,0.14389111404613478,-4.446491828126946,-3.6771556518934196,-4.392170637467463,-3.8481160078980627
919-86-8,Demeton-S-methyl,-0.8225342983938225,-0.7954749697306731,0.3827249920885684,-1.7681926540488178,0.22121479871113284,-1.5764305042239746,-0.20836578039471623
92-04-6,2-Chloro-4-phenylphenol,-0.8350808905014838,-0.8139713468109171,0.40704185364707407,-1.8817300192704844,-0.027718774390360607,-1.6160924916895878,-0.10732002450941988
92-24-0,Naphthacene,-1.6551507466890547,-1.6237984389510687,0.43047490696781726,-2.7092024595668827,-0.7550403521791265,-2.462800651371858,-0.8591342043300574
92-43-3,"3-Pyrazolidinone,1-phenyl-",-0.09613168295287826,-0.08591303844610551,0.41756203301199946,-1.1599023099318446,0.8483614638586765,-0.9098655223849859,0.6795159126911283
92-48-8,6-Methyl coumarin,0.49863763120390026,0.5707956752072323,0.3696984659057805,-0.4214346038920907,1.1998076844911094,-0.2796581713058464,1.095412629525402
92-51-3,Dicyclohexyl,-0.8169456002989689,-0.875475588195487,0.4600098642732979,-1.9376849003117878,0.5294153387684876,-1.7724408341663802,0.21839470499924235
92-52-4,Biphenyl,-0.34971150523214883,-0.35724581980250525,0.29138093167511964,-1.1582839601373902,0.5468114611653832,-0.8821724538659368,0.2144015535181045
92-69-3,4-Phenylphenol,-0.13009736351503584,-0.10790745000636406,0.46077349959388464,-1.5189112923950994,1.2321921157868496,-1.1261852581666387,0.8985953698351179
92-83-1,9H-Xanthene,0.08106019650811698,0.06946998648672068,0.515925752571187,-1.2424624713058072,1.7727742850050099,-0.8538056269411386,0.9122995366639971
92-87-5,Benzidine,-0.17421337203345652,-0.1808959789185123,0.1750077780993327,-0.6253793237974894,0.19212829958921268,-0.5233835641687793,0.1665632814232515
920-66-1,"1,1,1,3,3,3-Hexafluoro-2-propanol",0.6618873318043047,0.6505198223704496,0.4154616832375919,-0.5925602465774866,1.7264004831565842,-0.0433026544497709,1.4928975718354187
924-41-4,"1,5-Hexadien-3-ol",0.5470896031499887,0.4644426514022194,0.3465423994363375,-0.6748807576987723,1.4198176985523014,0.045847379282026604,1.2475991157321387
927-74-2,3-Butyn-1-ol,0.4556388180435848,0.47617612461233527,0.4370164593191295,-0.37510059960532066,1.9917614132255472,-0.34209747175247773,1.3008854207808276
928-96-1,(Z)-3-Hexen-1-ol,0.9839304846171818,0.958586891181254,0.4265230145238618,0.06397489023515904,2.2464482313114846,0.155660647384264,1.7429726442255133
928-97-2,(E)-3-Hexen-1-ol,0.8357180250942917,0.8341146007593122,0.4224889502682622,-0.5431506827478284,1.8509621549878248,0.0016564872991310098,1.5962615929146236
93-02-7,"2,5-Dimethoxybenzaldehyde",0.12116900830934461,0.10219055968955887,0.5869100375117021,-1.3596002734547226,1.6306808749603343,-0.9667944155548692,1.3229907552668099
93-04-9,2-Methoxynaphthalene,-0.07104562914695571,-0.07768816365412609,0.48299495714400315,-1.2978719023762013,1.1682819692864388,-1.0049000691728907,0.7664795268241028
93-07-2,"Benzoic acid, 3,4-dimethoxy-",0.8834222551695917,0.8798187782922626,0.42246368735935835,-0.13382132096714705,1.9391817515126775,0.04266999873709812,1.6488575287690588
93-15-2,Methyleugenol,-0.18636198455354847,-0.18581671185093646,0.31894413946087247,-1.2734377579726281,0.5035883110759921,-0.8066490792536581,0.4010837634548207
93-51-6,2-Methoxy-4-methylphenol,0.28446578945704437,0.3071443189118226,0.5484236903502793,-1.069305937261237,1.760256585469599,-0.6761093538396016,1.3425073599751578
93-65-2,Mecoprop,0.22357197792779654,0.3021412431514121,0.3912892493801716,-0.7371177470971154,1.118223912021672,-0.6750859894238452,0.8639530842746179
93-72-1,"2-(2,4,5-Trichlorophenoxy)propionic acid",-0.14546416095902426,-0.14618325664949106,0.22640221130380248,-0.781890015353761,0.3246855746758677,-0.6838993754814525,0.26785332421704383
93-76-5,"2,4,5-Trichlorophenoxyacetic acid",0.08329823488125239,0.09194089539629156,0.18598669192215256,-0.6586879735195728,0.5048682579328331,-0.25617223741101736,0.4446116910275233
93-78-7,"2,4,5-T-isopropyl",-0.9231067115498345,-0.990139060093691,0.47927627844997206,-2.1366222950090563,0.3358833932332394,-1.8794921484533629,0.02233104986328624
93-79-8,"Butyl (2,4,5-trichlorophenoxy)acetate",-0.5091674896455458,-0.5120003504686932,0.4247627596582857,-1.5799573069253072,0.7056029503298752,-1.441592159753551,0.24293865410963034
93-89-0,Ethyl benzoate,0.1308487065967218,0.15809430275489778,0.3529775495401928,-0.5777465137828405,0.8708134347360894,-0.5070636668047338,0.6904191754394468
93-91-4,1-Benzoylacetone,-0.46929578686255496,-0.5166531369788023,0.4615400329968021,-1.64997600113353,0.8959108996292446,-1.253744978424417,0.5420298201858932
93-99-2,Phenyl benzoate,-0.266172462789819,-0.2889956063300181,0.5356974780562256,-1.4091928814425159,1.3274127412421206,-1.3319749036042006,0.7423886910369331
931-53-3,Cyclohexyl isocyanide,0.06537223121946434,0.09317954853126426,0.5227004552746152,-1.0229126631800542,1.1821283237439533,-0.8804561715742535,0.9861342060756733
93106-60-6,Enrofloxacin,-0.2144947846968785,-0.17933382665273634,0.36739678195253767,-1.4251171688492312,0.36272327928035053,-1.1255699596012005,0.2910069516191004
932-16-1,2-Acetyl-1-methylpyrrole,0.6875349502179838,0.7237275364687252,0.4404833512310607,-0.36574059286615146,1.5935427250268364,-0.18996846468611195,1.4294428374447232
933-75-5,"2,3,6-Trichlorophenol",-0.5334336340951144,-0.5193404475883088,0.23675118895741395,-1.0540557775152353,-0.006073990439728307,-1.0047180621620098,-0.09625945331645375
933-78-8,"2,3,5-Trichlorophenol",-0.8425763218976036,-0.86175142671571,0.23387317353896506,-1.4218640466657297,-0.09999125614155913,-1.2739737087053264,-0.3496913814968121
93379-54-5,Esatenolol,0.554652361993017,0.5868113848094729,0.41851182129124587,-0.6747670523566005,1.8554446373840512,-0.2599060781901974,1.2413759779055618
935-95-5,"2,3,5,6-Tetrachlorophenol",-0.571825073481156,-0.5604527302780121,0.11480090070572098,-0.8056212833396775,-0.2988197660626325,-0.78301475769994,-0.3460814954111468
93697-74-6,Pyrazosulfuron-ethyl,-0.5757453598095986,-0.5394608044093361,0.5408081943210031,-1.8059563156102476,0.5573323339760683,-1.592553643490063,0.3644873073658899
937-20-2,"2,4'-Dichloroacetophenone",-0.09231154929854847,-0.060115045119991474,0.4172149590503023,-1.0343990787894495,1.0059846167629158,-0.8165409116075404,0.7214352780168386
938-55-6,"N(6),N(6)-Dimethyladenine",0.2940274092662188,0.29414507643932086,0.5568543292549291,-1.5205352346521455,1.9183378503140296,-0.7543648331589694,1.3366549106717525
939-23-1,4-Phenylpyridine,0.02854825235537306,0.07509641682658796,0.44700375039102447,-0.9539939021002241,1.1473315665220367,-0.8185491384233644,0.9019497048244056
94-09-7,Benzocaine,-0.0014514886217174255,0.014118823722980508,0.10895262939062149,-0.2775400865145319,0.19523489933331464,-0.23120652670634279,0.17174276193612392
94-11-1,"2,4-D isopropyl ester",-0.8061895716551796,-0.7467961865347181,0.38581220421844625,-1.846490227163819,-0.05544748164445645,-1.5850867905756385,-0.15228706316392943
94-13-3,Propylparaben,0.04753795657277979,0.07413391165551732,0.36633806895754156,-0.9800145457891138,0.8434718391450187,-0.6645428233632388,0.6733588041835525
94-18-8,Benzylparaben,-0.37877236325301716,-0.43457648275771754,0.5361345692850558,-1.6783199187242845,1.210022393030861,-1.2937724144809548,0.7039440106958144
