CAS,chemical_name,hc20_mean,hc20_median,hc20_std,hc20_min,hc20_max,hc20_ci_lower,hc20_ci_upper,hc50_mean,hc50_median,hc50_std,hc50_min,hc50_max,hc50_ci_lower,hc50_ci_upper,hc80_mean,hc80_median,hc80_std,hc80_min,hc80_max,hc80_ci_lower,hc80_ci_upper,n_species_observed,trad_hc20,trad_hc50,trad_hc80
818-61-1,2-Hydroxyethyl acrylate,0.10982221062346842,0.05196556658616594,0.48860631189218423,-1.1767856356460937,2.0550009957084376,-0.6762704263534779,1.1130409290192753,0.9207404169795302,0.8649111862422248,0.5082745279574059,-0.4050074184458422,2.749925062297204,0.08363851763696727,2.035183529846259,1.7085101030813032,1.6654326971186362,0.5322891513034179,0.37767367422704806,3.391719235958011,0.834002763961148,2.885336618146528,,,,
818-72-4,1-Octyn-3-ol,-0.44466997961626376,-0.5004261859059337,0.5773414027962572,-1.8331812984937939,1.6744462317150588,-1.4830787255708544,0.6709384227665381,0.3415856162076008,0.30147690030299135,0.5897809258589766,-0.9045800803762332,2.5922038836998853,-0.6784551347585296,1.497569972879319,1.12931325929798,1.0596696118602775,0.6048740939337479,-0.17584990271767462,3.371468879346673,0.09910032177511843,2.425592504724814,,,,
82-43-9,"1,8-Dichloroanthraquinone",-0.7054540205968238,-0.7104184048632984,0.5046062754847076,-1.9836145368579756,0.5285731631290601,-1.7008494221855728,0.2867520337151674,0.16073690012200806,0.149741516164141,0.5124889654996885,-1.1993743557558527,1.6620734162842634,-0.8951225963565351,1.1056149360729919,0.9831227467761501,0.9087206008429268,0.5362461792116986,-0.3397432054277264,2.5838529798596217,-0.10280884520683331,1.9536514096708264,,,,
82-44-0,1-Chloroanthraquinone,-0.5224375256239864,-0.4771608948412373,0.5302693834123224,-2.1601556719206525,0.635030677765044,-1.6698777633680852,0.4965393564957687,0.3106878857438145,0.3625142324387831,0.5426770912874916,-1.3566541861955077,1.4882452525940564,-0.8575488549228938,1.341640730397734,1.1115969976561333,1.144729321090138,0.5706834583708278,-0.7311475403293362,2.336834476958676,-0.03723451102135598,2.1403623323781744,,,,
82-46-2,"9,10-Anthracenedione, 1,5-dichloro-",-0.7325022548325455,-0.6790036077468824,0.6248406561825376,-2.996960542242414,1.065624394851006,-2.172166506524799,0.39556500577396014,0.1281719987317954,0.17614123485590016,0.6259713984326463,-2.021939823143462,1.9612110356039547,-1.3433138079813736,1.245551787436157,0.9521295615891325,1.027674322028588,0.6334936583609746,-1.0576924592529608,2.7772073171348497,-0.37530944435361124,2.0521049059116154,,,,
82-66-6,Diphacinone,-0.23412756227529408,-0.19378139665204966,0.3608400230567089,-1.2393717212851458,0.5832732405112151,-1.0469002640801117,0.39138152097758444,0.7013189617850054,0.7470379536819431,0.35866126422105826,-0.3259661019826676,1.4973995559080342,-0.08742823353142148,1.2992769408216038,1.5717885768789586,1.595759908517178,0.37369206313792536,0.482351164139327,2.4704580088795156,0.7795749751626824,2.214778736676808,,,,
82-68-8,Pentachloronitrobenzene,-1.1905271266764321,-1.1898647937796254,0.26010226110656404,-1.8699299392399626,-0.5175651730226961,-1.682867290468919,-0.7389427856336751,-0.30303900447069565,-0.29622502884825097,0.2325090060206197,-1.0700306553791719,0.32194976196755387,-0.7068276018298877,0.16726675621689122,0.5596795653780975,0.5821765828187466,0.2396872829030555,-0.2161245956009737,1.2148836189329713,0.09415538642970743,1.1052761343981452,,,,
82-71-3,"1,3-Benzenediol, 2,4,6-trinitro-",-0.2031268552076991,-0.22473957638658074,0.5156706405068097,-1.7979518271546961,1.0833049914316082,-1.2095496061306412,0.8699207571730141,0.6506912542992128,0.6179855940822816,0.5549529412823329,-0.8627319185639097,2.1425475350716088,-0.38402874011084775,1.8546948419950635,1.4657213411163525,1.4457616334055599,0.5871537047753965,0.021898638770108496,3.10184715320279,0.3463357517996358,2.8022221605037148,,,,
82097-50-5,Triasulfuron,-0.6250934772380881,-0.6052610531977265,0.3998968190239989,-2.074301394480537,0.5333197120989349,-1.3672936551850843,0.048060380589040205,0.3221117285002675,0.3472969396880567,0.4411162580110346,-1.2048396448227243,1.4568195047970982,-0.4949103076076499,1.1628077674195885,1.208764921938487,1.2332174499724038,0.46940585925968725,-0.17431562378669432,2.3948749911221463,0.26939071435675893,2.067944511775158,,,,
821-55-6,2-Nonanone,-0.1358213744299915,-0.11549517735935502,0.5196145824175024,-1.544926731050942,1.0499081125894965,-1.112596986352568,0.8151146783631478,0.6829236596789147,0.6973253776041449,0.5183112728573616,-0.7894966398010608,1.8836525085033644,-0.25027928662547355,1.722363502826322,1.4668352498193071,1.4591472763596989,0.5320805015517146,0.10353276862681635,3.0751972492685673,0.5461294874762911,2.5431444402084145,,,,
